feature,r
ST.Syllables,0.07583425253147659
Instruct.Generate,0.06404305005814391
BD.Cognition.Language.Speech,0.05945262771320191
ST.Heat,0.05262790319396017
BD.Action.Execution.Speech,0.05106341882882027
BD.Action.Rest,0.04918369085468765
BD.Cognition.Language.Semantics,0.04917682819169556
PC.Sexual Arousal/Gratification,0.04869309090747843
Contrast.Stimulus Type,0.045321482688264046
RT.Speech,0.04507738587225119
PC.Go/No-Go,0.0395937967200353
PC.Word Generation (Covert),0.0390129912055876
PC.Word Generation (Overt),0.03825162947541396
ST.Interactive Computer Game,0.03807136615888221
ST.Interactive Computer Program,0.03807136615888221
PC.Multi-Tasking,0.03657884620436707
ST.Words,0.03611748413614474
Instruct.Repeat,0.03608265499844637
ST.Fixation Point,0.03580540752819944
Instruct.Recall,0.03498157014811019
Instruct.Inhibit,0.03409460480287299
Contrast.Instruction,0.032007116015124466
Instruct.Fixate,0.03145141247415958
RT.Button Press,0.03128252881147388
PC.Stroop-Color Word,0.031010782247360764
Instruct.Rate,0.03087018447846129
RM.Oral/Facial,0.030669814286823468
PC.Tone Monitor/Discrimination,0.03004875559903887
BD.Cognition,0.029487665677067867
PC.Semantic Monitor/Discrimination,0.02910439805194167
PC.Paired Associate Recall,0.028963800117804597
PC.Word Stem Completion (Covert),0.0287532092784056
BD.Perception.Somesthesis.Pain,0.028492267588282775
PC.Recitation/Repetition (Covert),0.028123087027018812
BD.Action.Inhibition,0.0279273802777788
PC.Reward,0.027547828292850275
Contrast.Response Modality,0.0265443138802737
ST.Symbols,0.026471320939323206
PC.Delayed Match to Sample,0.026313082800748136
BD.Cognition.Language.Phonology,0.0262704045539463
ST.Digits,0.025792547257372657
Instruct.Read,0.025393854197332696
PC.Recitation/Repetition (Overt),0.025125404381570793
PC.Film Viewing,0.024956526963821897
BD.Emotion,0.024833086520681582
Contrast.Response Type,0.024464821918170135
BD.Cognition.Attention,0.02373167757076082
Instruct.Discriminate,0.023067041415742458
BD.Interoception.Thermoregulation,0.022972944289458345
ST.Letters,0.022963368094966668
PC.Cued Explicit Recognition/Recall,0.022904979276004087
PC.Stroop-Other,0.0229044098742342
ST.Noise,0.022364135085063335
PC.Acupuncture,0.02189418905390723
RT.None,0.020846985994155715
RM.None,0.020521998954539863
Contrast.Experience Dependent Change,0.02018348791329698
ST.Acupuncture,0.019961918122129566
BD.Interoception.Sexuality,0.019935439405379833
BD.Cognition.Music,0.01956743634320727
BD.Cognition.Memory.Explicit,0.019162223471026023
PC.Pain Monitor/Discrimination,0.01672455433869839
PC.Micturition,0.01646682077544292
PC.Tower of London,0.016440054577424593
ST.Video,0.014508789372000475
ST.Pseudowords,0.014384578125155699
PC.Phonological Discrimination,0.014118888715538102
RM.Pelvis,0.013966014121800981
Instruct.None,0.013883446461725272
BD.Emotion.Anxiety,0.013882224051135327
PC.Autobiographical Recall,0.013847112195331053
BD.Cognition.Language.Orthography,0.013428191145974993
ST.Mathematical Equation,0.013385775203381944
ST.Playing Cards,0.013379176710013577
PC.Oddball Discrimination,0.013194415378235277
PC.Word Stem Completion (Overt),0.01312020286792251
PC.Counting/Calculation,0.012542409073281541
PC.Music Production,0.012370511406125627
PC.Naming (Covert),0.012265031999292696
BD.Action.Preparation,0.012088811067981499
ST.Music,0.011915956202243571
PC.Driving,0.011534321540956917
PC.Music Comprehension,0.011235120072789935
Instruct.Sing,0.011136398067260352
PC.Taste,0.011091627351736539
Instruct.Name,0.010186851558752964
ST.Cartoons,0.010086715934711152
PC.Deception,0.009925937447453148
PC.Meditation,0.009908014847862188
Instruct.Report,0.009608708200825634
BD.Emotion.Disgust,0.009520039546527545
PC.Orthographic Discrimination,0.009174886014476167
PC.Flanker,0.008802680019075082
SM.Auditory,0.008500452270588795
BD.Interoception.Bladder,0.00810831421133701
SM.Visual,0.00807369143219168
PC.Olfactory Monitor/Discrimination,0.007997155667456454
ST.Abstract Patterns,0.007394983570096305
PC.Figurative Language,0.006969238944594183
PC.Wisconsin Card Sorting Test,0.006862739752661982
SM.Olfactory,0.006819964838020895
RT.Smile,0.006389924743940038
PC.Classical Conditioning,0.0062023326193801406
ST.False Font,0.006149331683061903
Instruct.Attend,0.005500317595019628
ST.Asian Characters,0.005164995661561714
PC.Lexical Decision,0.004876363665244456
ST.Reversed Speech,0.0045247262625401985
BD.Perception.Olfaction,0.004059781520087979
PC.Reading (Covert),0.003847008625967724
ST.Odor,0.003823484698119782
RT.Not Defined.,0.0033440902115289633
Instruct.Not Defined.,0.0033440902115289633
SM.Not Defined.,0.0033440902115289633
ST.Not Defined.,0.0033440902115289633
RM.Not Defined.,0.0033440902115289633
BD.Not Defined.,0.0033440902115289633
ST.Film Clip,0.002948048493761132
BD.Cognition.Reasoning,0.0029317734324823333
RT.Swallow,0.0028071782028860222
PC.Hand-Eye Coordination,0.0025715805026133576
PC.Imagined Movement,0.0025471889803022523
PC.Reading (Overt),0.0025312520850272495
Instruct.Encode,0.0023193152559483816
Contrast.Stimulus Modality,0.0022185365221601243
BD.Cognition.Memory.Working,0.0021106232445828777
PC.Visual Motion,0.0014214300517001559
PC.Affective Pictures,0.0009783249170913686
PC.n-back,0.0009591977618156394
BD.Interoception.Thirst,0.0008878571201202173
Instruct.Predict,0.0008827928148391684
PC.Imagined Objects/Scenes,0.0007391380528900815
PC.Divided Auditory Attention,0.00047894140018981123
PC.Task Switching,0.000288160210720072
Instruct.Answer,0.00021861624186549257
PC.Thirst Induction,0.00011053612201541989
ST.Shapes,-0.000477283953466775
ST.Pain,-0.0005299148757187307
PC.Rest,-0.0006130249439716736
BD.Action.Imagination,-0.0006911876374369777
PC.Self-Reflection,-0.0007409858709332144
PC.Physical Size,-0.0009087887319994664
PC.Luminance,-0.0009087887319995086
BD.Perception.Audition,-0.00106586377883166
BD.Cognition.Soma,-0.00129638636644967
PC.Estimation,-0.0015921790431213
ST.Arrow,-0.002040107618711751
BD.Cognition.Time,-0.0025403834461509792
Instruct.Experience,-0.002576937146006159
PC.Gambling,-0.0027443205587729387
Instruct.Count,-0.002778916401171411
ST.Electricity,-0.0029737426040226736
RM.Foot,-0.0030656123955203887
BD.Emotion.Sadness,-0.0033678784924435936
BD.Perception.Vision.Color,-0.0035797037140042915
Instruct.Detect,-0.003687726625886176
ST.Infusion,-0.0038690023766347155
BD.Perception.Gustation,-0.004046706808963133
SM.Gustatory,-0.004191488936441012
PC.Magnitude Comparison (Non-symbolic),-0.004389340127746113
PC.Hunger/Satiety,-0.004403713029906003
Instruct.Maintain,-0.004465452544798864
Instruct.Add,-0.004465452544798866
RM.Wrist,-0.004465452544798881
BD.Pharmacology.Caffeine,-0.0044654525447989065
PC.Syntactic Discrimination,-0.004632442322903665
ST.Food,-0.005062954290368742
PC.Reasoning/Problem Solving,-0.005483736563087936
RM.Hand,-0.005620942260517608
RT.Micturate,-0.005913135502741634
BD.Interoception,-0.005917716659136934
Instruct.Track,-0.006289423689771692
RT.Breath-Hold,-0.006315516775496902
ST.Faces and Scenes,-0.006315516775496908
ST.Letters and abstract objects,-0.006315516775496908
ST.Spinner,-0.00631551677549691
RM.Unknown,-0.006315516775496911
RT.Unknown,-0.006315516775496911
BD.Action.Observation,-0.006419624743685091
ST.Tones,-0.006475629359653058
BD.Emotion.Anger,-0.006510679538493297
ST.Dots,-0.006600138287368454
BD.Cognition.Language.Syntax,-0.006949674134230693
PC.Video Games,-0.007061515669849216
ST.Blurred disk,-0.007719748035965613
PC.Naming (Overt),-0.007731424799192743
BD.Pharmacology.Alcohol,-0.007735402974936317
ST.Vignettes,-0.007735402974936317
ST.Instruction,-0.007735402974936322
PC.Fluency Induction,-0.007735402974936342
PC.Cued Speech,-0.007735402974936342
RM.Shoulder,-0.007735402974936382
ST.Braille,-0.007735402974936403
PC.Sequence Recall/Learning,-0.00777967557723914
ST.Inhalation,-0.007922141577643123
Instruct.Imagine,-0.008041407056590887
PC.Face Monitor/Discrimination,-0.008412858305050513
ST.Faces,-0.00847136419187939
PC.Whistling,-0.008932658596945838
RT.Whistle,-0.008932658596945838
ST.Air Puff,-0.00893265859694585
PC.Stroop-Counting,-0.008932658596945852
BD.Interoception.Hunger,-0.00896436795676878
BD.Cognition.Memory,-0.009035456670030828
BD.Emotion.Happiness.Humor,-0.009570244402730837
ST.Sounds (Environmental),-0.009835424254086086
RT.Blink,-0.00998766967155001
PC.Trauma Recall,-0.009987669671550016
RM.Other,-0.009987669671550037
SM.Interoceptive,-0.010073618328545494
RM.Arm,-0.010101537829415256
PC.Pitch Monitor/Discrimination,-0.010518024455883995
RT.Drink,-0.010775795903485642
ST.Scenes,-0.010902063342988164
ST.Animations,-0.01094166024022676
PC.Anti-Saccades,-0.011496973914923523
